Record_id,Market_transaction_id,Supply_quantity,Demand_quantity,Record_date,Market_price_id
1,111,1000.50,1200.75,2024-03-01,1
2,112,950.30,1100.60,2024-03-02,2
3,113,1020.40,1150.90,2024-03-03,3
4,114,980.20,1050.50,2024-03-04,4
5,115,1100.80,1300.25,2024-03-05,5
6,116,1050.70,1250.30,2024-03-06,6
7,117,980.90,1080.50,2024-03-07,7
8,118,1200.60,1350.40,2024-03-08,8
9,119,1150.50,1280.75,2024-03-09,9
10,120,1000.20,1100.90,2024-03-10,10
11,121,1075.80,1250.40,2024-03-11,11
12,122,950.40,1030.70,2024-03-12,12
13,123,1080.30,1190.60,2024-03-13,13
14,124,990.50,1090.25,2024-03-14,14
15,125,1150.40,1300.50,2024-03-15,15
16,126,1025.30,1180.40,2024-03-16,16
17,127,980.90,1100.70,2024-03-17,17
18,128,1230.60,1400.25,2024-03-18,18
19,129,1100.75,1250.90,2024-03-19,19
20,130,950.50,1080.30,2024-03-20,20
21,131,1085.20,1185.40,2024-03-21,21
22,132,995.30,1070.60,2024-03-22,22
23,133,1100.50,1255.90,2024-03-23,23
24,134,1075.90,1230.70,2024-03-24,24
25,135,980.40,1095.50,2024-03-25,25
26,136,1150.30,1350.80,2024-03-26,26
27,137,1050.60,1200.90,2024-03-27,27
28,138,990.75,1120.30,2024-03-28,28
29,139,1230.50,1405.70,2024-03-29,29
30,140,1075.40,1280.50,2024-03-30,30
31,141,950.80,1080.90,2024-03-31,31
32,142,1020.60,1155.40,2024-04-01,32
33,143,1095.30,1230.50,2024-04-02,33
34,144,1000.20,1180.70,2024-04-03,34
35,145,1235.60,1400.30,2024-04-04,35
36,146,980.50,1090.90,2024-04-05,36
37,147,1120.75,1285.40,2024-04-06,37
38,148,1040.60,1190.50,2024-04-07,38
39,149,1155.30,1355.90,2024-04-08,39
40,150,1025.20,1195.80,2024-04-09,40
41,166,1230.80,1410.50,2024-04-10,41
42,167,995.40,1105.70,2024-04-11,42
43,168,1080.50,1200.30,2024-04-12,43
44,169,980.60,1090.20,2024-04-13,44
45,170,1150.90,1305.40,2024-04-14,45
46,171,1045.70,1205.90,2024-04-15,46
47,172,1105.50,1250.30,2024-04-16,47
48,173,1020.60,1160.80,2024-04-17,48
49,174,1235.40,1400.50,2024-04-18,49
50,193,990.20,1120.90,2024-04-19,50
51,194,1085.70,1250.40,2024-04-20,51
52,195,1150.90,1305.80,2024-04-21,52
53,196,1025.40,1180.30,2024-04-22,53
