farmer_crop_id,farmer_id,crop_id,quantity
1,1,2,500.00
2,2,3,600.50
3,3,1,700.00
4,4,5,800.75
5,5,6,450.25
6,6,7,900.00
7,7,8,1000.50
8,8,9,550.75
9,9,10,650.00
10,10,11,400.25
11,11,12,1200.00
12,12,13,850.50
13,13,14,920.75
14,14,15,300.00
15,15,16,750.25
16,16,17,1300.00
17,17,18,620.50
18,18,19,530.75
19,19,20,1400.00
20,20,21,470.25
21,21,22,550.50
22,22,23,800.75
23,23,24,1100.00
24,24,25,600.25
25,25,26,900.00
26,26,27,1050.50
27,27,28,560.75
28,28,29,470.00
29,29,30,620.25
30,30,31,700.50
31,31,32,950.75
32,32,33,510.00
33,33,34,760.25
34,34,35,850.50
35,35,36,920.75
36,36,37,480.00
37,37,38,680.25
38,38,39,1040.50
39,39,40,570.75
40,40,41,490.00
41,41,42,720.25
42,42,43,1100.50
43,43,44,860.75
44,44,45,620.00
45,45,46,980.25
46,46,47,530.50
47,47,48,870.75
48,48,49,490.00
49,49,50,750.25
50,50,51,800.50
51,51,52,680.75
52,7,53,550.00
53,5,8,920.25
54,5,5,1040.50
55,16,1,500.75
